Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Bittersweet Motel,Phish,16,1998-07-21,2012-07-04,140
Head Held High,The Velvet Underground,2,1998-10-31,2012-07-04,140
Purple Rain,Prince,32,1993-07-16,2012-07-04,140
Susskind Hotel,"Trey, Mike and The Duo",3,2011-07-02,2012-07-04,140
Happiness Is a Warm Gun,The Beatles,2,1994-10-31,2012-07-03,141
Access Me,Phish,5,2004-06-26,2012-07-01,142
Lonesome Cowboy Bill,The Velvet Underground,7,1995-05-14,2012-07-01,142
Daniel Saw the Stone,Traditional,19,1993-07-15,2012-06-30,143
Let It Loose,The Rolling Stones,3,2009-10-31,2012-06-30,143
Life on Mars?,David Bowie,23,1995-10-13,2012-06-29,144
Sweet Jane,The Velvet Underground,3,1998-08-08,2012-06-29,144
The Old Home Place,The Dillards,38,1994-06-26,2012-06-28,145
Sweet Virginia,The Rolling Stones,5,1999-09-26,2012-06-24,146
Shaggy Dog,Sam Hopkins,16,1986-10-15,2012-06-22,148
Dog Log,Phish,24,1985-09-26,2012-06-20,149
Brother,Phish,58,1991-09-25,2012-06-17,151
Dogs Stole Things,Phish,35,1997-06-06,2012-06-17,151
Manteca,Dizzy Gillespie,14,1990-11-04,2012-06-16,152
Shafty,Phish,5,1998-04-05,2012-06-10,154
The Gambler,Kenny Rogers,1,2012-06-10,2012-06-10,154
Lifeboy,Phish,52,1993-02-03,2011-12-29,159
Come Together,The Beatles,2,1995-12-08,2011-09-04,162
Guy Forget,Phish,2,2000-10-01,2011-09-04,162
The Way It Goes,Gillian Welch,1,2011-09-04,2011-09-04,162
Sparks,The Who,13,1987-03-23,2011-09-02,164
Sweet Adeline,Artie Shaw,173,1990-03-28,2011-09-02,164
Sleep,Phish,16,1998-10-17,2011-08-17,165
Anything But Me,Phish,12,2003-01-04,2011-08-15,167
Instant Karma!,John Lennon,3,2010-06-12,2011-08-10,169
Mellow Mood,Bob Marley and The Wailers,9,2000-09-08,2011-08-09,170
Rocket Man,Elton John,1,2011-08-09,2011-08-09,170
50 Ways to Leave Your Lover,Paul Simon,1,2011-08-08,2011-08-08,171
On Your Way Down,Allen Toussaint,22,1988-06-24,2011-08-06,172
Big Balls,AC/DC,1,2011-07-03,2011-07-03,174
Time Loves a Hero,Little Feat,8,1988-10-29,2011-07-03,174
Monkey Man,The Rolling Stones,1,2011-07-02,2011-07-02,175
Storage Jam,Phish,1,2011-07-02,2011-07-02,175
Sleep Again,Trey Anastasio,4,2009-11-01,2011-06-30,177
Thunder Road,Bruce Springsteen,1,2011-06-19,2011-06-19,178
Been Caught Stealing,Jane's Addiction,6,1998-08-01,2011-06-18,179
Albuquerque,Neil Young,16,1998-07-26,2011-06-11,184
Rhymes,Al Green,1,2011-06-07,2011-06-07,187
Have Mercy,The Mighty Diamonds,13,1986-04-01,2011-06-04,189
Rocket in My Pocket,Little Feat,2,2010-10-31,2011-06-04,189
Round Room,Phish,5,2003-01-02,2011-01-01,197
Beauty of My Dreams,The Del McCoury Band,50,1997-02-16,2010-12-31,198
Burn That Bridge,Trey Anastasio,1,2010-12-31,2010-12-31,198
Gone,Trey Anastasio,2,2009-12-30,2010-12-31,198
Fat Man in the Bathtub,Little Feat,2,2010-10-31,2010-12-30,199
Pigtail,Phish,1,2010-12-28,2010-12-28,200
She Caught the Katy and Left M...,Taj Mahal,6,1986-12-06,2010-12-28,200
What Things Seem,Phish,2,2010-10-11,2010-12-27,201
A Apolitical Blues,Little Feat,1,2010-10-31,2010-10-31,202
All That You Dream,Little Feat,1,2010-10-31,2010-10-31,202
Day or Night,Little Feat,1,2010-10-31,2010-10-31,202
Dixie Chicken,Little Feat,1,2010-10-31,2010-10-31,202
Don't Bogart That Joint,Fraternity of Man,1,2010-10-31,2010-10-31,202
Feats Don't Fail Me Now,Little Feat,1,2010-10-31,2010-10-31,202
Mercenary Territory,Little Feat,1,2010-10-31,2010-10-31,202
Oh Atlanta,Little Feat,1,2010-10-31,2010-10-31,202
Old Folks Boogie,Little Feat,1,2010-10-31,2010-10-31,202
Sailin' Shoes,Little Feat,1,2010-10-31,2010-10-31,202
Spanish Moon,Little Feat,1,2010-10-31,2010-10-31,202
Spooky,The Classics IV,3,1993-03-14,2010-10-31,202
Tripe Face Boogie,Little Feat,1,2010-10-31,2010-10-31,202
Willin',Little Feat,1,2010-10-31,2010-10-31,202
Ramble On,Led Zeppelin,3,1998-08-01,2010-10-30,203
Stairway to Heaven,Led Zeppelin,1,2010-10-30,2010-10-30,203
Thank You,Led Zeppelin,1,2010-10-30,2010-10-30,203
Whole Lotta Love,Led Zeppelin,5,1990-06-09,2010-10-30,203
All of These Dreams,Phish,9,2002-12-19,2010-10-26,205
Night Nurse,Gregory Isaacs,1,2010-10-26,2010-10-26,205
Time Turns Elastic,Trey Anastasio & Don Hart,17,2009-05-31,2010-10-24,206
Love You,Syd Barrett,95,1987-10-31,2010-10-23,207
My Problem Right There,Phish,3,2010-10-10,2010-10-22,208
"Bill Bailey, Won't You Please ...",Hughie Cannon,6,1993-07-28,2010-10-15,212
